country_code,category,month,country_group,hemisphere,total_pcs,month_num,quarter,month_sin,month_cos,is_peak_season,is_black_friday_month,is_holiday_season,lag_1,lag_2,lag_3,roll_mean_3,roll_std_3,roll_mean_6,roll_std_6,roll_mean_12,roll_std_12,avg_org_price_lag1,avg_sale_price_lag1,discount_rate_lag1,is_deep_discount_lag1,price_12m_avg_lag1,price_vs_12m_avg_lag1,n_styles_lag1,n_colors_lag1
SE,CAT_008,2025-06-01,SE,Northern,1.0,6,2,1.2246467991473532e-16,-1.0,0,0,0,1.0,0.0,0.0,0.3333333333333333,0.5773502691896258,1.8333333333333333,2.639444385977209,4.666666666666667,4.334498677803327,57.9838,15.99,0.7242333203411987,1,21.43883609126984,0.7458427282118792,1.0,1.0
TR,CAT_012,2025-08-01,TR,Northern,7.0,8,3,-0.8660254037844384,-0.5000000000000004,0,0,0,8.0,4.0,16.0,9.333333333333334,6.110100926607787,6.666666666666667,5.00666222813829,4.833333333333333,5.131601439446884,159.396175,112.20195,0.2960812892781148,0,102.73570705128206,1.092141702436454,5.0,8.0
KZ,CAT_012,2025-08-01,KZ,Northern,2.0,8,3,-0.8660254037844384,-0.5000000000000004,0,0,0,4.0,7.0,22.0,11.0,9.643650760992957,10.166666666666666,8.010409893798611,5.583333333333333,7.242028009954788,150.7275,143.155,0.050239670929326,0,98.89962366522369,1.4474777020849066,3.0,3.0
HR,CAT_012,2025-09-01,HR,Northern,3.0,9,3,-1.0,-1.8369701987210294e-16,0,0,0,5.0,4.0,12.0,7.0,4.358898943540673,10.166666666666666,4.6224091842530255,6.083333333333333,5.599648257351582,186.00408,142.82396,0.2321460905588737,0,127.0616014983165,1.1240528870706257,4.0,4.0
NL,CAT_008,2025-09-01,NL,Northern,1.0,9,3,-1.0,-1.8369701987210294e-16,0,0,0,1.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.8333333333333334,1.1690451944499114,8.5,10.638694383326284,61.8467,18.3249,0.703704482211662,1,16.74290224898558,1.0944876657277427,1.0,1.0
SI,CAT_012,2025-09-01,SI,Northern,1.0,9,3,-1.0,-1.8369701987210294e-16,0,0,0,7.0,11.0,14.0,10.666666666666666,3.511884584284249,11.5,6.024948132556838,6.75,6.524429616309904,183.2494,143.70845714285716,0.2157766566064764,0,124.6262266627312,1.153115688335547,6.0,6.0
TR,CAT_007,2025-10-01,TR,Northern,4.0,10,4,-0.8660254037844386,0.5000000000000001,1,0,0,9.0,7.0,4.0,6.666666666666667,2.516611478423583,8.0,3.687817782917149,7.0,3.357488238658066,169.93568888888888,146.25174444444443,0.1393700440401898,0,127.82807541370666,1.144128502061154,4.0,6.0
TR,CAT_009,2025-10-01,TR,Northern,6.0,10,4,-0.8660254037844386,0.5000000000000001,1,0,0,12.0,3.0,1.0,5.333333333333333,5.859465277082316,3.6666666666666665,4.27395211328656,4.666666666666667,4.334498677803326,141.1467,125.17161666666668,0.113180707259421,0,114.12912575757574,1.0967543634089212,3.0,9.0
TR,CAT_001,2025-10-01,TR,Northern,11.0,10,4,-0.8660254037844386,0.5000000000000001,1,0,0,6.0,9.0,3.0,6.0,2.999999999999995,6.333333333333333,3.444802848737015,4.333333333333333,3.550501458394378,69.52845,38.386975,0.4478954298564113,1,11.32278805916306,3.39024053081476,3.0,4.0
TR,CAT_002,2025-10-01,TR,Northern,6.0,10,4,-0.8660254037844386,0.5000000000000001,1,0,0,4.0,9.0,3.0,5.333333333333333,3.2145502536643176,6.166666666666667,3.188521078284829,4.083333333333333,3.4761089357690373,33.6856,12.394666666666668,0.6320485113322409,1,20.50699857142857,0.6044115438685196,1.0,1.0
TR,CAT_005,2025-10-01,TR,Northern,12.0,10,4,-0.8660254037844386,0.5000000000000001,1,0,0,15.0,17.0,14.0,15.333333333333334,1.5275252316521322,21.33333333333333,11.843422928641324,15.666666666666666,10.948917201202498,137.15004666666667,118.91362,0.1329669738355175,0,105.16823147327445,1.1306990555433898,10.0,12.0
LT,CAT_012,2025-10-01,LT,Northern,1.0,10,4,-0.8660254037844386,0.5000000000000001,1,0,0,3.0,5.0,23.0,10.333333333333334,11.0151410945722,16.833333333333332,10.14724921674178,10.833333333333334,9.627926552325256,199.2295,172.9203,0.1320547408892759,0,120.32387155797102,1.4371238039551315,2.0,2.0
EE,CAT_009,2025-11-01,EE,Northern,3.0,11,4,-0.5000000000000004,0.8660254037844384,1,1,1,3.0,6.0,3.0,4.0,1.7320508075688772,6.0,3.6878177829171537,8.25,5.047501632220908,190.1431,177.44129999999998,0.0668012670457146,0,138.23752233886484,1.283597224529488,3.0,3.0
HR,CAT_007,2025-11-01,HR,Northern,8.0,11,4,-0.5000000000000004,0.8660254037844384,1,1,1,3.0,5.0,3.0,3.6666666666666665,1.1547005383792517,5.166666666666667,3.125166662222457,5.75,3.695820735518826,222.103,160.8655,0.2757166719945251,0,161.26622426046174,0.9975151383229848,3.0,3.0
FI,CAT_013,2025-11-01,FI,Northern,5.0,11,4,-0.5000000000000004,0.8660254037844384,1,1,1,2.0,2.0,11.0,5.0,5.196152422706632,7.666666666666667,5.3166405433005,7.75,4.882715339942424,192.787,192.787,0.0,0,153.63638206611571,1.2548264766937578,2.0,2.0
