month,country_code,country_group,hemisphere,category,total_pcs,total_revenue,avg_org_price,avg_sale_price,n_transactions,n_styles,n_colors,active_days
2024-01-01,AE,AE,Northern,CAT_001,39,344.6452,21.112202631578945,9.06961052631579,38,9,20,15
2024-02-01,AE,AE,Northern,CAT_001,63,514.5145,21.210216393442625,8.43466393442623,61,11,27,23
2024-03-01,AE,AE,Northern,CAT_001,62,553.1186,21.550010169491525,9.37489152542373,59,10,23,25
2024-04-01,AE,AE,Northern,CAT_001,79,647.5625,21.992262162162163,8.750844594594595,74,11,27,24
2024-05-01,AE,AE,Northern,CAT_001,74,628.7412,21.379008450704223,8.85550985915493,71,10,24,22
2024-06-01,AE,AE,Northern,CAT_001,49,389.4255,21.987660869565218,8.465771739130435,46,11,25,21
2024-07-01,AE,AE,Northern,CAT_001,70,589.0299,20.95137878787879,8.924695454545455,66,12,36,22
2024-08-01,AE,AE,Northern,CAT_001,64,544.0833,23.52811607142857,9.715773214285715,56,10,28,20
2024-09-01,AE,AE,Northern,CAT_001,66,528.9703,20.36038125,8.2651609375,64,9,28,26
2024-10-01,AE,AE,Northern,CAT_001,69,537.6938,21.57655,8.401465625,64,10,27,20
2024-11-01,AE,AE,Northern,CAT_001,90,684.4349,23.850332467532468,8.888764935064934,77,10,25,25
2024-12-01,AE,AE,Northern,CAT_001,21,191.3415,21.618245,9.567074999999999,20,7,13,13
2025-01-01,AE,AE,Northern,CAT_001,45,420.4669,22.28908780487805,10.25529024390244,41,10,26,20
2025-02-01,AE,AE,Northern,CAT_001,45,440.0001,21.86031904761905,10.476192857142857,42,10,22,19
2025-03-01,AE,AE,Northern,CAT_001,49,451.7199,20.3998,9.218773469387756,49,9,24,23
2025-04-01,AE,AE,Northern,CAT_001,127,991.2402,21.095965,9.912402,100,12,39,24
2025-05-01,AE,AE,Northern,CAT_001,95,759.797,24.104662962962966,9.38020987654321,81,14,32,27
2025-06-01,AE,AE,Northern,CAT_001,83,758.6419,21.86691095890411,10.392354794520548,73,15,38,28
2025-07-01,AE,AE,Northern,CAT_001,106,860.9186,14.326223595505617,9.673242696629213,89,8,21,30
2025-08-01,AE,AE,Northern,CAT_001,102,1359.5059,25.116762068965517,15.626504597701151,87,13,36,30
2025-09-01,AE,AE,Northern,CAT_001,103,1600.0735,31.051376666666666,17.778594444444444,90,18,40,28
2025-10-01,AE,AE,Northern,CAT_001,107,2174.4383,37.381954455445545,21.52909207920792,101,16,38,27
2025-11-01,AE,AE,Northern,CAT_001,116,2751.6531,43.95624803921569,26.976991176470587,102,16,34,28
2025-12-01,AE,AE,Northern,CAT_001,42,721.3373,33.583953658536586,17.59359268292683,41,9,21,18
2024-01-01,AE,AE,Northern,CAT_002,53,1412.7782,64.50245806451613,45.573490322580646,31,9,11,22
2024-02-01,AE,AE,Northern,CAT_002,85,1687.5316,56.500104444444446,37.50070222222222,45,10,11,28
2024-03-01,AE,AE,Northern,CAT_002,103,2147.3494,64.94836938775511,43.823457142857144,49,11,11,29
2024-04-01,AE,AE,Northern,CAT_002,91,1685.3898,56.99132558139535,39.195111627906975,43,10,12,27
2024-05-01,AE,AE,Northern,CAT_002,128,3096.5257,79.42883214285713,55.29510178571429,56,12,16,31
2024-06-01,AE,AE,Northern,CAT_002,123,2289.5254,70.08187843137254,44.89265490196078,51,13,14,29
2024-07-01,AE,AE,Northern,CAT_002,89,2863.014,73.10865714285714,51.12525,56,14,18,28
2024-08-01,AE,AE,Northern,CAT_002,96,2157.728,63.65979787234042,45.90910638297873,47,10,12,30
2024-09-01,AE,AE,Northern,CAT_002,55,1167.3761,54.62394411764706,34.33459117647059,34,8,7,25
2024-10-01,AE,AE,Northern,CAT_002,62,1194.3154,58.88906285714286,34.12329714285714,35,10,10,24
2024-11-01,AE,AE,Northern,CAT_002,63,1514.759,67.71170810810811,40.93943243243243,37,8,11,24
2024-12-01,AE,AE,Northern,CAT_002,42,1031.1611,57.6558375,42.965045833333335,24,6,7,20
2025-01-01,AE,AE,Northern,CAT_002,39,794.7267,40.146358620689654,27.404368965517243,29,6,7,24
2025-02-01,AE,AE,Northern,CAT_002,47,1197.121,51.520829032258064,38.61680645161291,31,10,8,23
2025-03-01,AE,AE,Northern,CAT_002,110,1809.334,69.31521219512194,44.130097560975614,41,7,9,30
2025-04-01,AE,AE,Northern,CAT_002,124,2242.4459,75.78920227272728,50.96467954545455,44,11,15,26
2025-05-01,AE,AE,Northern,CAT_002,167,2605.6425,117.94416363636364,59.21914772727273,44,8,12,30
2025-06-01,AE,AE,Northern,CAT_002,91,1321.8533,91.39665806451612,42.64042903225806,31,4,4,28
2025-07-01,AE,AE,Northern,CAT_002,94,1747.0031000000001,94.8659465116279,40.62797906976744,43,10,12,28
2025-08-01,AE,AE,Northern,CAT_002,91,1676.7842,89.16849743589744,42.99446666666667,39,8,8,28
2025-09-01,AE,AE,Northern,CAT_002,70,1287.3813,80.13424242424242,39.011554545454544,33,9,9,22
2025-10-01,AE,AE,Northern,CAT_002,60,784.3915,72.99118076923077,30.168903846153846,26,5,5,22
2025-11-01,AE,AE,Northern,CAT_002,70,904.9639,76.22736,30.16546333333333,30,4,4,24
2025-12-01,AE,AE,Northern,CAT_002,34,372.3838,52.057875,18.61919,20,2,2,19
2024-01-01,AE,AE,Northern,CAT_003,74,10264.9983,157.76204657534245,140.61641506849315,73,15,30,27
2024-02-01,AE,AE,Northern,CAT_003,49,6621.8391,157.62738775510203,135.13957346938776,49,15,28,23
2024-03-01,AE,AE,Northern,CAT_003,20,2685.7575,154.52661500000002,134.287875,20,7,11,17
2024-04-01,AE,AE,Northern,CAT_003,15,2133.342,152.62125333333333,142.2228,15,7,10,10
2024-05-01,AE,AE,Northern,CAT_003,14,2014.1616,158.9413,143.8686857142857,14,9,12,9
2024-06-01,AE,AE,Northern,CAT_003,14,1966.1490999999999,146.5877142857143,140.43922142857141,14,4,11,9
2024-07-01,AE,AE,Northern,CAT_003,13,1863.1099000000002,151.32107692307693,143.31614615384618,13,8,8,5
2024-08-01,AE,AE,Northern,CAT_003,59,8283.1864,158.46018620689657,142.81355862068966,58,19,21,24
2024-09-01,AE,AE,Northern,CAT_003,149,22069.6602,164.59662448979591,150.13374285714283,147,30,41,28
2024-10-01,AE,AE,Northern,CAT_003,270,39983.1917,168.80745261194028,149.19101380597016,268,37,65,31
2024-11-01,AE,AE,Northern,CAT_003,402,54216.04,172.40534025641026,139.0154871794872,390,34,57,30
2024-12-01,AE,AE,Northern,CAT_003,187,26391.1958,171.1219,141.8881494623656,186,27,41,31
2025-01-01,AE,AE,Northern,CAT_003,125,18095.1813,173.13128130081301,147.11529512195122,123,26,36,30
2025-02-01,AE,AE,Northern,CAT_003,75,9684.7436,164.44662266666666,129.12991466666665,75,25,32,25
2025-03-01,AE,AE,Northern,CAT_003,55,7771.3626,174.60191296296296,143.91412222222223,54,21,23,20
2025-04-01,AE,AE,Northern,CAT_003,26,3890.2667,170.92353599999998,155.610668,25,11,15,15
2025-05-01,AE,AE,Northern,CAT_003,8,1580.4264,216.8618375,197.5533,8,8,6,6
2025-06-01,AE,AE,Northern,CAT_003,18,3725.5478000000003,230.94026111111108,206.9748777777778,18,11,12,8
2025-07-01,AE,AE,Northern,CAT_003,14,3134.8343,240.9403857142857,223.91673571428572,14,7,10,10
2025-08-01,AE,AE,Northern,CAT_003,47,7702.3441,218.9982170212766,163.87966170212766,47,18,24,23
2025-09-01,AE,AE,Northern,CAT_003,110,21116.025,226.1670890909091,191.96386363636364,110,27,38,29
2025-10-01,AE,AE,Northern,CAT_003,263,52186.2232,228.70608505747128,199.9472153256705,261,33,59,31
2025-11-01,AE,AE,Northern,CAT_003,476,91073.7519,239.95261181619256,199.286109190372,457,30,60,30
2025-12-01,AE,AE,Northern,CAT_003,139,26582.5138,230.55455766423358,194.03294744525547,137,30,47,29
2024-01-01,AE,AE,Northern,CAT_005,175,16173.7756,100.94494770114943,92.95273333333334,174,15,47,30
2024-02-01,AE,AE,Northern,CAT_005,304,27698.9851,101.74617926421406,92.63874615384616,299,19,65,29
2024-03-01,AE,AE,Northern,CAT_005,461,41942.4611,101.03573289473684,91.97908135964913,456,20,87,31
2024-04-01,AE,AE,Northern,CAT_005,388,35496.1025,101.42655418848166,92.92173429319372,382,22,73,30
2024-05-01,AE,AE,Northern,CAT_005,440,41136.4485,102.8700731308411,96.11319742990653,428,22,84,31
2024-06-01,AE,AE,Northern,CAT_005,375,34389.9438,101.1974706199461,92.69526630727763,371,20,69,30
2024-07-01,AE,AE,Northern,CAT_005,335,30515.8335,100.29931856287425,91.36477095808384,334,22,74,31
2024-08-01,AE,AE,Northern,CAT_005,520,46822.525499999996,100.71979980544747,91.09440758754863,514,23,82,31
2024-09-01,AE,AE,Northern,CAT_005,493,43910.1265,102.29593284823284,91.28924428274428,481,22,72,30
2024-10-01,AE,AE,Northern,CAT_005,510,45058.7276,102.98261437246964,91.2119991902834,494,23,77,31
2024-11-01,AE,AE,Northern,CAT_005,539,42265.9695,101.58868655303031,80.04918465909091,528,24,90,30
2024-12-01,AE,AE,Northern,CAT_005,213,17763.2333,102.24224230769232,85.40016009615384,208,19,52,30
2025-01-01,AE,AE,Northern,CAT_005,370,33727.2819,105.89128055555557,93.68689416666668,360,23,68,31
2025-02-01,AE,AE,Northern,CAT_005,408,38541.0684,110.33664256926953,97.08077682619647,397,25,82,28
2025-03-01,AE,AE,Northern,CAT_005,610,63477.1835,117.1792797319933,106.3269405360134,597,26,90,31
2025-04-01,AE,AE,Northern,CAT_005,840,87953.4677,124.62304801026957,112.90560680359434,779,30,98,30
2025-05-01,AE,AE,Northern,CAT_005,1002,125155.3639,153.65067888402626,136.9314703501094,914,27,86,31
2025-06-01,AE,AE,Northern,CAT_005,711,94838.2698,151.64456335766423,138.4500289051095,685,28,81,30
2025-07-01,AE,AE,Northern,CAT_005,681,86550.5183,148.90020407239817,130.54376817496228,663,29,92,31
2025-08-01,AE,AE,Northern,CAT_005,525,69756.9942,147.84102519379846,135.18797325581394,516,28,81,31
2025-09-01,AE,AE,Northern,CAT_005,493,61239.7625,146.8428018711019,127.31759355509355,481,33,89,30
2025-10-01,AE,AE,Northern,CAT_005,348,42726.9166,146.1590479532164,124.93250467836256,342,28,70,31
2025-11-01,AE,AE,Northern,CAT_005,565,61765.6284,146.14475569620254,111.69191392405064,553,31,89,30
2025-12-01,AE,AE,Northern,CAT_005,241,28487.9819,144.34322100840336,119.69740294117646,238,29,55,30
2024-01-01,AE,AE,Northern,CAT_007,130,17029.1362,142.32346299212597,134.08768661417324,127,14,23,30
2024-02-01,AE,AE,Northern,CAT_007,170,22000.5075,138.85698816568046,130.1805177514793,169,17,26,28
2024-03-01,AE,AE,Northern,CAT_007,186,24064.0971,143.31053922651935,132.9508127071823,181,18,24,31
2024-04-01,AE,AE,Northern,CAT_007,149,19660.4032,139.4900248322148,131.94901476510069,149,18,26,28
2024-05-01,AE,AE,Northern,CAT_007,137,17920.8327,138.6785116788321,130.80899781021898,137,17,22,29
2024-06-01,AE,AE,Northern,CAT_007,100,12602.7565,138.648454,126.027565,100,18,26,28
2024-07-01,AE,AE,Northern,CAT_007,114,14603.1971,142.63032053571428,130.38568839285713,112,17,26,29
2024-08-01,AE,AE,Northern,CAT_007,182,23998.2935,142.797925,133.32385277777777,180,18,32,31
2024-09-01,AE,AE,Northern,CAT_007,187,24288.7779,142.39356413043478,132.0042277173913,184,17,31,30
2024-10-01,AE,AE,Northern,CAT_007,181,22561.7427,139.58195444444442,125.343015,180,14,28,31
2024-11-01,AE,AE,Northern,CAT_007,225,23757.5049,140.92225454545454,107.98865863636364,220,17,31,30
2024-12-01,AE,AE,Northern,CAT_007,92,9415.5624,136.7091901098901,103.46771868131869,91,15,25,27
2025-01-01,AE,AE,Northern,CAT_007,135,15564.133,139.67161777777775,115.28987407407408,135,15,23,30
2025-02-01,AE,AE,Northern,CAT_007,152,18650.9682,146.85527006802724,126.87733469387754,147,16,29,27
2025-03-01,AE,AE,Northern,CAT_007,227,30412.6854,150.89814776785715,135.7709169642857,224,24,38,31
2025-04-01,AE,AE,Northern,CAT_007,289,37877.6304,148.96287377622377,132.43926713286714,286,28,34,30
2025-05-01,AE,AE,Northern,CAT_007,208,33408.7391,170.22607922705313,161.39487487922705,207,25,27,31
2025-06-01,AE,AE,Northern,CAT_007,112,17560.9478,179.07780630630631,158.20673693693695,111,22,24,28
2025-07-01,AE,AE,Northern,CAT_007,113,15863.3412,178.14730973451327,140.38355044247788,113,21,25,29
2025-08-01,AE,AE,Northern,CAT_007,103,16348.6989,178.95194660194176,158.72523203883495,103,16,23,30
2025-09-01,AE,AE,Northern,CAT_007,103,15576.448,180.67665533980585,151.2276504854369,103,18,23,29
2025-10-01,AE,AE,Northern,CAT_007,86,13205.0722,183.30870238095235,157.20324047619047,84,20,23,28
2025-11-01,AE,AE,Northern,CAT_007,154,20721.9213,178.1103103896104,134.55793051948052,154,21,26,28
2025-12-01,AE,AE,Northern,CAT_007,46,6704.0903,179.88774130434783,145.74109347826086,46,11,15,22
2024-01-01,AE,AE,Northern,CAT_008,7,147.7939,43.74491666666666,24.632316666666668,6,2,3,4
2024-02-01,AE,AE,Northern,CAT_008,11,203.9331,39.081,18.539372727272728,11,3,5,11
2024-03-01,AE,AE,Northern,CAT_008,21,404.6169,47.664964705882355,23.800994117647058,17,3,6,13
2024-04-01,AE,AE,Northern,CAT_008,23,360.5793,55.16125384615385,27.73686923076923,13,4,5,11
2024-05-01,AE,AE,Northern,CAT_008,26,498.7725,55.1176052631579,26.251184210526315,19,2,4,15
2024-06-01,AE,AE,Northern,CAT_008,12,235.2032,41.3241,19.600266666666666,12,1,2,10
2024-07-01,AE,AE,Northern,CAT_008,9,180.27550000000002,41.25944444444444,20.030611111111114,9,2,2,8
2024-08-01,AE,AE,Northern,CAT_008,17,373.6988,42.439364705882355,21.982282352941176,17,2,4,12
2024-09-01,AE,AE,Northern,CAT_008,14,245.5462,36.09312857142857,17.539014285714284,14,2,3,11
2024-10-01,AE,AE,Northern,CAT_008,9,148.3861,37.44805,18.5482625,8,3,5,8
2024-11-01,AE,AE,Northern,CAT_008,22,379.3975,46.33657894736842,19.96828947368421,19,3,5,12
2024-12-01,AE,AE,Northern,CAT_008,12,199.7957,38.33008181818182,18.163245454545457,11,2,4,8
2025-01-01,AE,AE,Northern,CAT_008,30,547.5714,45.787423076923076,21.060438461538464,26,2,4,17
2025-02-01,AE,AE,Northern,CAT_008,27,499.28880000000004,39.98490384615385,19.203415384615386,26,2,4,17
2025-03-01,AE,AE,Northern,CAT_008,30,571.1138,46.53933461538462,21.965915384615382,26,4,6,15
2025-04-01,AE,AE,Northern,CAT_008,35,677.4393,41.69164411764706,19.924685294117648,34,2,4,19
2025-05-01,AE,AE,Northern,CAT_008,33,587.5588,54.77974482758621,20.26064827586207,29,2,4,17
2025-06-01,AE,AE,Northern,CAT_008,28,527.9706,51.056948148148145,19.554466666666666,27,3,5,15
2025-07-01,AE,AE,Northern,CAT_008,38,694.3671,67.1617,23.94369310344828,29,1,3,18
2025-08-01,AE,AE,Northern,CAT_008,18,326.7007,52.703129411764706,19.217688235294116,17,3,5,13
2025-09-01,AE,AE,Northern,CAT_008,21,407.2966,60.02611666666667,22.62758888888889,18,2,4,14
